distanceNew,timeNew
15.790868513442598,2.22
15.77420305491055,2.23
15.75753803743035,2.24
15.740873436616367,2.25
15.724209239521512,2.2600000000000002
15.707543522765143,2.27
15.690880101642614,2.2800000000000002
15.674215174781594,2.29
15.657550668795734,2.3000000000000003
15.640886621412093,2.31
15.624223076742561,2.32
15.607560037837427,2.33
15.590897572397777,2.34
15.574235039764938,2.35
15.557574204227258,2.36
15.540911233099575,2.37
15.524251846361693,2.38
15.507590302360013,2.39
15.490928469847567,2.4
15.474268241498825,2.41
15.45760572291274,2.42
15.440942734819929,2.43
15.42428112916794,2.44
15.407618959193588,2.45
15.390954313264254,2.46
15.374291087200472,2.47
15.357627465982864,2.48
15.340963544277901,2.49
15.324299392563539,2.5
15.307633163504338,2.5100000000000002
15.290968726252611,2.52
